"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT02870",67579.16792,68640.87042,67250.26744,67350.1102,74877.63621,82575.84658,70447.75412,73380.20751,68021.23886,90238.36229,70509.80933
"FT02871",1979.112911,2626.946408,3015.972087,2834.879227,2305.727773,3225.619586,4202.325516,2515.973355,2841.742244,3356.466595,2604.507187
"FT02872",25807.77191,18795.05383,16766.00337,2995.418476,12717.77129,23262.40996,49193.59673,10800.89797,72642.42504,1882.378298,25392.90115
"FT02873",2200.7903,7259.842442,3732.895168,1928.204736,8214.574146,11955.13096,6949.894485,587.2973887,10456.97028,3094.752808,4450.685745
"FT02874",19215.40419,23579.22427,10471.02203,8451.429715,14939.1912,13753.67824,12267.97265,15281.11289,28961.89884,41500.22488,19438.02921
"FT02875",5231.992976,8308.302595,8842.611071,3528.956845,5024.041925,7482.422114,3885.809562,10338.06552,3596.772424,10603.44789,17638.13354
"FT02876",3623.103028,7851.302993,18123.12,7316.169119,10259.51513,39231.06378,18691.10994,6053.89405,6130.088171,15010.21113,22374.4134
"FT02877",9338.097572,8258.314737,8176.932001,11526.84289,5133.350522,9493.072033,14251.01945,7675.730475,6112.399972,8650.150236,1826.127879
"FT02878",2765.60873,NA,NA,NA,NA,NA,NA,1976.108871,1772.613223,NA,3767.812449
"FT02879",640.9289344,2083.593814,1926.783425,1482.129168,2120.23891,1687.345037,1813.008444,2542.829595,2867.743027,1916.746939,3459.377287
"FT02880",131.0701415,NA,362.5575232,NA,NA,NA,199.3386033,NA,87.507352,NA,2375.390033
"FT02881",21906.91172,23586.92778,24091.79672,16635.21757,22450.27148,23104.35592,15749.48222,23944.04711,16812.63994,17421.12348,18253.00962
"FT02882",3592.320523,5481.966617,3375.415258,7785.728056,11828.58371,7194.602393,4934.309864,15763.23962,2793.160554,11061.87325,6963.173818
"FT02883",101502.6606,114484.7673,102327.9116,126405.9924,117898.8902,121371.9547,121913.1496,135135.289,115292.8732,158800.0877,93428.54319
"FT02884",291812.3303,247157.3161,311324.1224,190471.0132,265307.105,351913.4612,291666.0513,194513.1555,122247.9523,400410.433,95612.32583
"FT02885",83940.7152,63087.2336,124433.6174,106172.5546,67079.79742,111784.2418,113204.736,59748.96644,14507.75738,89803.98662,56251.96668
"FT02886",195806.8963,223625.0235,165885.3604,189147.9078,174536.2732,154911.5288,162786.2564,166834.5319,163531.5461,168222.2275,166027.1856
"FT02887",14919.58123,15310.53703,NA,17781.85055,15473.70593,17327.94519,16110.62944,15776.88147,18110.46978,21240.68026,12459.02256
"FT02888",1403.970519,2974.568283,1148.793706,2273.060399,5550.234263,11658.93606,1490.911613,586.4641417,NA,437.2430505,17581.52985
"FT02889",600055.8753,952940.5736,840416.3111,1034570.768,1309487.934,1930946.34,1390430.34,829214.3291,733506.3725,2474759.525,2357204.282
"FT02890",1145.639714,533.5296545,1411.771515,398.349675,1152.558364,8337.020034,3723.573168,8045.533465,97.49677215,1785.467111,3642.403196
"FT02891",11877.67193,15614.65142,10487.96535,21802.1195,15269.83527,8962.619842,15548.78655,3542.646537,1794.146716,11550.38546,9647.705908
